entry,at,order
"""SIMON @ pZYcWAwWMU"" posts a big blind of 20",2021-01-05T06:04:49.313Z,160982668932010
"Dead Small Blind",2021-01-05T06:04:49.313Z,160982668932009
"Your hand is 2♣, 6♠",2021-01-05T06:04:49.313Z,160982668932004
"Player stacks: #2 ""SIMON @ pZYcWAwWMU"" (2480) | #6 ""WILL @ pICSC9Ctds"" (1240) | #8 ""AJ @ DU8X52JYCl"" (2390) | #9 ""LUKE @ e1gbfgFBn7"" (3225) | #10 ""FINN @ TjsSi2aE2P"" (1165)",2021-01-05T06:04:49.313Z,160982668932003
"-- starting hand #120  (No Limit Texas Hold'em) (dealer: ""FINN @ TjsSi2aE2P"") --",2021-01-05T06:04:49.313Z,160982668932002
"The player ""SANJAY @ vrF6WbyhIw"" quits the game with a stack of 0.",2021-01-05T06:04:49.313Z,160982668932001
"The player ""CONOR @ UA0JtktTD_"" quits the game with a stack of 0.",2021-01-05T06:04:49.313Z,160982668932000
"""SIMON @ pZYcWAwWMU"" shows a J♦, 6♣.",2021-01-05T06:04:45.942Z,160982668594200
"""SANJAY @ vrF6WbyhIw"" shows a A♣, Q♦.",2021-01-05T06:04:45.797Z,160982668579800
"""WILL @ pICSC9Ctds"" shows a 9♦, 9♠.",2021-01-05T06:04:45.080Z,160982668508000
"""FINN @ TjsSi2aE2P"" shows a 4♥, J♥.",2021-01-05T06:04:44.690Z,160982668469100
"""CONOR @ UA0JtktTD_"" shows a Q♣, A♠.",2021-01-05T06:04:42.138Z,160982668213800
"""AJ @ DU8X52JYCl"" shows a 6♠, J♣.",2021-01-05T06:04:41.979Z,160982668198000
"-- ending hand #119 --",2021-01-05T06:04:40.288Z,160982668029304
"""LUKE @ e1gbfgFBn7"" collected 160 from pot with Straight, 5 High (combination: 5♥, 4♣, 3♥, 2♠, A♥)",2021-01-05T06:04:40.288Z,160982668029303
"""LUKE @ e1gbfgFBn7"" collected 1740 from pot with Straight, 5 High (combination: 5♥, 4♣, 3♥, 2♠, A♥)",2021-01-05T06:04:40.288Z,160982668029302
"""LUKE @ e1gbfgFBn7"" collected 600 from pot with Straight, 5 High (combination: 5♥, 4♣, 3♥, 2♠, A♥)",2021-01-05T06:04:40.288Z,160982668029301
"""LUKE @ e1gbfgFBn7"" shows a K♣, 5♥.",2021-01-05T06:04:40.288Z,160982668029300
"""SANJAY @ vrF6WbyhIw"" calls 180 and go all in",2021-01-05T06:04:39.481Z,160982667948200
"""FINN @ TjsSi2aE2P"" calls 260",2021-01-05T06:04:38.503Z,160982667850400
"""LUKE @ e1gbfgFBn7"" bets 260",2021-01-05T06:04:37.458Z,160982667745900
"""SANJAY @ vrF6WbyhIw"" checks",2021-01-05T06:04:31.128Z,160982667112800
"""FINN @ TjsSi2aE2P"" checks",2021-01-05T06:04:30.300Z,160982667030400
"River: A♥, 3♥, 4♣, 4♦ [2♠]",2021-01-05T06:04:28.590Z,160982666859700
"""SANJAY @ vrF6WbyhIw"" calls 300",2021-01-05T06:04:27.783Z,160982666778400
"""FINN @ TjsSi2aE2P"" calls 300",2021-01-05T06:04:26.139Z,160982666614000
"""LUKE @ e1gbfgFBn7"" raises to 300",2021-01-05T06:04:24.935Z,160982666493600
"""SANJAY @ vrF6WbyhIw"" calls 60",2021-01-05T06:04:19.133Z,160982665913400
"""FINN @ TjsSi2aE2P"" bets 60",2021-01-05T06:04:18.172Z,160982665817300
"Turn: A♥, 3♥, 4♣ [4♦]",2021-01-05T06:04:14.129Z,160982665413100
"""FINN @ TjsSi2aE2P"" calls 100",2021-01-05T06:04:13.322Z,160982665332300
"""LUKE @ e1gbfgFBn7"" calls 100",2021-01-05T06:04:12.313Z,160982665231300
"""AJ @ DU8X52JYCl"" folds",2021-01-05T06:04:00.729Z,160982664072900
"""WILL @ pICSC9Ctds"" folds",2021-01-05T06:03:59.864Z,160982663986500
"""SANJAY @ vrF6WbyhIw"" bets 100",2021-01-05T06:03:52.028Z,160982663202900
"""FINN @ TjsSi2aE2P"" checks",2021-01-05T06:03:47.201Z,160982662720200
"Flop:  [A♥, 3♥, 4♣]",2021-01-05T06:03:44.794Z,160982662479500
"""SANJAY @ vrF6WbyhIw"" calls 100",2021-01-05T06:03:43.987Z,160982662398800
"""FINN @ TjsSi2aE2P"" calls 100",2021-01-05T06:03:42.864Z,160982662286500
"""LUKE @ e1gbfgFBn7"" calls 100",2021-01-05T06:03:41.973Z,160982662197400
"""AJ @ DU8X52JYCl"" calls 100",2021-01-05T06:03:41.135Z,160982662113600
"""WILL @ pICSC9Ctds"" calls 100",2021-01-05T06:03:37.283Z,160982661728400
"""CONOR @ UA0JtktTD_"" raises to 100 and go all in",2021-01-05T06:03:34.779Z,160982661478000
"""SANJAY @ vrF6WbyhIw"" raises to 80",2021-01-05T06:03:31.046Z,160982661104700
"""FINN @ TjsSi2aE2P"" calls 20",2021-01-05T06:03:26.791Z,160982660679200
"""LUKE @ e1gbfgFBn7"" calls 20",2021-01-05T06:03:25.952Z,160982660596000
"""AJ @ DU8X52JYCl"" calls 20",2021-01-05T06:03:25.098Z,160982660509900
"""WILL @ pICSC9Ctds"" calls 20",2021-01-05T06:03:18.705Z,160982659870500
"""CONOR @ UA0JtktTD_"" calls 20",2021-01-05T06:03:17.497Z,160982659749800
"""SIMON @ pZYcWAwWMU"" folds",2021-01-05T06:03:14.000Z,160982659400100
"""SANJAY @ vrF6WbyhIw"" posts a big blind of 20",2021-01-05T06:03:11.156Z,160982659115810
"""FINN @ TjsSi2aE2P"" posts a small blind of 10",2021-01-05T06:03:11.156Z,160982659115809
"Your hand is J♦, 6♣",2021-01-05T06:03:11.156Z,160982659115703
